probe_id,stability_fraction,n_significant_repeats
exm460873-0_B_R_2060124749,1.0,30
exm2245131-0_B_F_1960078487,1.0,30
exm1041923-0_T_R_1922575168,1.0,30
exm161959-0_T_R_1919158388,1.0,30
exm1046059-0_T_F_1922547177,1.0,30
exm545126-0_T_R_1922009708,1.0,30
exm1049346-0_T_F_1922465719,1.0,30
exm1055518-0_T_F_1921844741,1.0,30
exm312505-0_B_F_2060421275,1.0,30
exm-rs1321744-131_T_R_1990488456,1.0,30
exm1792849-0_B_F_2060135027,1.0,30
exm375830-0_B_F_1922155677,1.0,30
exm151723-0_B_R_1921475100,1.0,30
exm1064409-0_B_R_1921829133,1.0,30
exm374684-0_T_F_1922283217,1.0,30
exm1075001-0_B_F_1921841575,1.0,30
exm523594-0_T_F_1921962613,1.0,30
exm1078165-0_B_R_1921836640,1.0,30
exm351757-0_B_F_1922115869,1.0,30
exm2277017-0_T_R_1989215336,1.0,30
exm1091898-0_B_R_1922770482,1.0,30
exm542267-0_T_R_1921876918,1.0,30
exm274495-0_T_R_1918814578,1.0,30
exm1818608-0_B_F_1927018953,1.0,30
exm1157179-0_T_R_1922859472,1.0,30
exm439800-0_T_R_1921193351,1.0,30
exm1157999-0_T_R_1922817656,1.0,30
exm309790-0_B_R_1922215646,1.0,30
exm144975-0_B_R_1919114304,1.0,30
exm1158742-0_B_R_1922811776,1.0,30
exm1393151-0_T_F_1921614915,1.0,30
exm294694-0_B_F_1922223929,1.0,30
exm232437-0_T_F_1918826569,1.0,30
exm1189236-0_B_R_1922835354,1.0,30
exm1197392-0_B_R_1921711572,1.0,30
exm1214060-0_T_R_1921653292,1.0,30
exm1214111-0_T_F_1921785683,1.0,30
exm1790-0_B_F_1921371183,1.0,30
exm45382-0_T_R_1921413452,1.0,30
exm721176-0_T_F_1922979491,1.0,30
exm1214126-0_B_F_1921654733,1.0,30
exm1223541-0_B_F_1921755079,1.0,30
exm588265-0_T_R_1921974678,1.0,30
exm1225362-0_T_R_1921738764,1.0,30
exm1236288-0_T_F_1921776525,1.0,30
exm63579-0_T_R_1921559958,1.0,30
exm563219-0_T_F_1921887831,1.0,30
exm509417-0_T_F_1921168742,1.0,30
exm1260594-0_T_R_1921657690,1.0,30
exm1276395-0_T_R_1918654476,1.0,30
exm1291150-0_T_R_2058873027,1.0,30
exm1875153-0_B_R_2060120651,1.0,30
exm1311514-0_B_F_1918714291,1.0,30
exm1316345-0_B_F_1918615785,1.0,30
exm1351320-0_B_R_1918794748,1.0,30
exm318221-0_T_R_1922220414,1.0,30
exm1367987-0_T_R_1918724820,1.0,30
exm244542-0_T_F_1918981883,1.0,30
exm162451-0_T_R_1921466416,1.0,30
exm150738-0_B_R_1919139270,1.0,30
exm120679-0_T_F_1921471407,1.0,30
exm1427928-0_T_R_1923316470,1.0,30
exm557105-0_T_F_1921983477,1.0,30
exm568790-0_B_F_1921937283,1.0,30
exm324552-0_T_F_1922184075,1.0,30
exm1924739-0_T_R_1927247710,1.0,30
exm638949-0_T_F_1918501955,1.0,30
exm371534-0_T_R_1922283852,1.0,30
exm238246-0_B_F_1918914771,1.0,30
exm310430-0_T_F_1922201563,1.0,30
exm325174-0_T_R_1922233064,1.0,30
exm1442697-0_T_F_2060141789,1.0,30
exm234321-0_T_F_1918915207,1.0,30
exm326427-0_B_R_1922217674,1.0,30
exm1453197-0_T_F_1923209609,1.0,30
exm2241120-0_T_R_1960123825,1.0,30
exm1471153-0_B_R_1923230572,1.0,30
exm428054-0_B_F_1923040539,1.0,30
exm1530128-0_T_F_1922635155,1.0,30
exm369684-0_T_R_1922237710,1.0,30
exm285059-0_B_F_1918833827,1.0,30
exm401033-0_B_R_1923065738,1.0,30
exm43011-0_B_F_1921441001,1.0,30
exm401075-0_T_F_1923131059,1.0,30
exm363830-0_B_R_1922190426,1.0,30
exm1533671-0_B_F_1922631227,1.0,30
exm411519-0_B_F_1923038535,1.0,30
exm1552559-0_B_F_1922607837,1.0,30
exm1564766-0_B_R_1918401720,1.0,30
exm1567342-0_B_F_1918398641,1.0,30
exm277002-0_T_R_1918922004,1.0,30
exm434695-0_T_F_1923062955,1.0,30
exm119079-0_T_F_1921575913,1.0,30
exm131374-0_B_F_1919141167,1.0,30
exm1576052-0_B_F_1918424827,1.0,30
exm1606988-0_T_R_1919105310,1.0,30
exm763626-0_B_R_1922348856,1.0,30
exm777387-0_T_R_2060126042,1.0,30
exm1609252-0_B_F_1919044185,1.0,30
exm786903-0_B_R_1922426070,1.0,30
exm1011156-0_T_R_1922568934,1.0,30
exm800695-0_B_R_1922396302,1.0,30
exm806278-0_T_R_1921036879,1.0,30
exm823703-0_B_R_1920989983,1.0,30
exm826689-0_T_R_1921049687,1.0,30
exm835047-0_T_F_1921051940,1.0,30
exm847132-0_T_F_1921042500,1.0,30
exm852296-0_T_R_2060126771,1.0,30
exm875742-0_B_F_1918192111,1.0,30
exm920939-0_B_R_1918203916,1.0,30
exm2250130-0_T_R_1975250767,1.0,30
exm935492-0_B_F_1918260665,1.0,30
exm956308-0_B_R_1918197196,1.0,30
exm958707-0_B_F_1918242004,1.0,30
exm966722-0_T_R_1918286396,1.0,30
exm1005811-0_T_R_1922492422,1.0,30
exm1019182-0_B_R_1922494452,1.0,30
exm140134-0_T_R_1921337970,0.9666666666666667,29
exm230193-0_B_F_1918912693,0.9333333333333333,28
exm850935-0_B_F_1921057040,0.9333333333333333,28
exm1057015-0_B_R_1921842132,0.9333333333333333,28
exm1052338-0_B_F_1922537865,0.9333333333333333,28
exm1530980-0_B_R_1922646674,0.9333333333333333,28
exm2276667-0_T_F_2058864968,0.9333333333333333,28
exm946658-0_T_R_1918280772,0.9333333333333333,28
exm1178534-0_B_F_1922885461,0.9333333333333333,28
exm1179354-0_B_F_1922868621,0.9333333333333333,28
exm661979-0_B_F_1918596001,0.9333333333333333,28
exm388997-0_T_R_1923049562,0.9333333333333333,28
exm1078865-0_T_F_1921790373,0.9333333333333333,28
exm2257577-0_T_R_1975258295,0.9333333333333333,28
exm69217-0_T_F_1921577021,0.9333333333333333,28
exm2276910-0_B_F_1985231683,0.9333333333333333,28
exm601670-0_T_F_1918567933,0.9333333333333333,28
exm1070038-0_T_F_1921795921,0.9333333333333333,28
exm402261-0_T_R_1923082968,0.9333333333333333,28
exm245223-0_B_F_1919009303,0.9333333333333333,28
exm758764-0_B_R_1922366818,0.9333333333333333,28
exm1272891-0_T_F_1921713419,0.9333333333333333,28
exm-rs3097648-131_B_F_1990482293,0.9,27
exm26794-0_B_R_1921571564,0.9,27
exm283828-0_T_F_1918908811,0.9,27
exm1610701-0_B_F_1919072495,0.8666666666666667,26
exm63162-0_B_R_1921388988,0.8666666666666667,26
exm420421-0_B_F_1923033419,0.8666666666666667,26
exm2232003-0_T_R_2060152836,0.8333333333333334,25
exm1513971-0_T_F_1923300959,0.8333333333333334,25
exm2254256-0_T_F_1975264182,0.8333333333333334,25
exm963161-0_T_R_1918232967,0.7666666666666667,23
exm659062-0_T_F_1918503763,0.6666666666666666,20
exm945187-0_T_R_1918204608,0.6666666666666666,20
exm1257604-0_T_F_1921787811,0.6666666666666666,20
exm543869-0_T_R_2060139186,0.6666666666666666,20
exm202278-0_B_F_1918895303,0.6666666666666666,20
exm1169122-0_B_F_1922883213,0.6666666666666666,20
exm635213-0_B_R_1918525408,0.6666666666666666,20
exm412043-0_T_R_1923032046,0.6666666666666666,20
exm1471131-0_B_F_2060143090,0.6666666666666666,20
exm277516-0_B_R_1918882834,0.6666666666666666,20
exm751451-0_T_F_1922339291,0.6666666666666666,20
exm2274748-0_T_R_1984881936,0.6666666666666666,20
exm763579-0_T_R_1922362842,0.6666666666666666,20
exm1043275-0_T_R_1922436418,0.6666666666666666,20
exm1131003-0_B_R_1922711770,0.6666666666666666,20
exm1509026-0_T_R_1920927465,0.6666666666666666,20
exm854235-0_T_R_1921016009,0.6333333333333333,19
exm741388-0_B_F_1922395925,0.6,18
exm962438-0_B_R_1918311387,0.6,18
exm1384417-0_B_R_2060124942,0.5666666666666667,17
exm-rs2327429-131_T_R_1990490275,0.43333333333333335,13
exm762235-0_T_F_1922393633,0.43333333333333335,13
exm550435-0_B_R_1921857594,0.3333333333333333,10
exm2224835-0_B_R_1960098979,0.3,9
exm-rs806794-131_T_F_1990494441,0.26666666666666666,8
exm203493-0_T_R_1918882472,0.26666666666666666,8
exm791360-0_B_F_1922312579,0.23333333333333334,7
exm1270928-0_B_R_1921765280,0.2,6
exm453802-0_T_F_1921143654,0.2,6
exm1091560-0_T_F_1922691545,0.16666666666666666,5
exm825187-0_T_R_1921075123,0.13333333333333333,4
exm1515296-0_B_F_1923315403,0.1,3
exm793425-0_B_F_1922356781,0.1,3
exm1189432-0_T_R_1922833074,0.1,3
exm2265787-0_T_F_1984856375,0.1,3
exm778816-0_T_F_1922347751,0.06666666666666667,2
exm2255901-0_B_R_1975260275,0.06666666666666667,2
exm1417498-0_T_F_1923144199,0.06666666666666667,2
exm1558541-0_T_F_1922604473,0.06666666666666667,2
exm913472-0_B_F_1918302260,0.06666666666666667,2
exm608597-0_T_R_1918492510,0.06666666666666667,2
exm2266364-0_B_R_2060144744,0.06666666666666667,2
exm1537470-0_T_F_2060138293,0.06666666666666667,2
exm520507-0_T_R_1921916388,0.03333333333333333,1
exm1277168-0_B_R_1918614454,0.03333333333333333,1
exm74528-0_T_F_1921419365,0.03333333333333333,1
exm1045390-0_T_R_1922522628,0.03333333333333333,1
exm339984-0_B_R_1922144624,0.03333333333333333,1
exm325265-0_B_R_1922146110,0.03333333333333333,1
exm145096-0_T_R_1921544562,0.03333333333333333,1
exm333842-0_T_R_1922119416,0.03333333333333333,1
exm1601650-0_B_R_1919097446,0.03333333333333333,1
exm2224359-0_B_F_1960100656,0.03333333333333333,1
exm1542-0_B_R_1919163390,0.0,0
exm1550-0_T_R_2060152559,0.0,0
exm1553-0_B_F_2060124810,0.0,0
exm1554-0_B_F_1921489825,0.0,0
exm1565-0_T_R_1921518546,0.0,0
exm1580-0_B_F_1921498901,0.0,0
exm1582-0_B_F_1919172205,0.0,0
exm1583-0_T_F_1921543273,0.0,0
exm1626-0_B_R_1921521226,0.0,0
exm1640-0_T_R_1919163538,0.0,0
exm1641-0_B_R_1921475692,0.0,0
exm1646-0_T_F_1921336671,0.0,0
exm1649-0_T_F_1921527129,0.0,0
exm1651-0_T_F_1919177757,0.0,0
exm1654-0_T_F_1919158699,0.0,0
exm1687-0_T_R_1921347054,0.0,0
exm1688-0_B_R_1919179052,0.0,0
exm1703-0_B_F_1919130441,0.0,0
exm1726-0_B_F_1921551641,0.0,0
exm1761-0_T_R_1921437850,0.0,0
exm1771-0_T_F_1921516227,0.0,0
exm1782-0_B_R_1919137654,0.0,0
exm1789-0_T_F_1921373399,0.0,0
exm1812-0_B_F_1921369859,0.0,0
exm1832-0_T_R_1921546954,0.0,0
exm1839-0_T_R_1919141104,0.0,0
exm1864-0_B_R_1921420230,0.0,0
exm1872-0_B_F_1919112085,0.0,0
exm1885-0_T_F_1921452731,0.0,0
exm1886-0_B_F_1919182429,0.0,0
exm1890-0_T_F_1921532177,0.0,0
exm1924-0_T_F_1921452203,0.0,0
exm1932-0_T_R_1921509136,0.0,0
exm1952-0_T_F_1921363909,0.0,0
exm1965-0_T_F_1921389967,0.0,0
exm1968-0_T_F_1919156907,0.0,0
exm1971-0_T_F_1921531617,0.0,0
exm1989-0_T_F_1919175585,0.0,0
exm-rs6685064-131_B_F_2060132280,0.0,0
exm2062-0_B_R_1919120138,0.0,0
exm2063-0_T_R_1921453402,0.0,0
exm2070-0_T_F_1919114281,0.0,0
exm2081-0_B_F_1919182571,0.0,0
exm2090-0_B_F_1921356147,0.0,0
exm2093-0_T_R_1921518058,0.0,0
exm2097-0_T_F_1919189241,0.0,0
exm2110-0_B_F_1919191093,0.0,0
exm2113-0_T_R_1921358480,0.0,0
exm2129-0_T_R_1921380894,0.0,0
exm2131-0_T_R_1919116996,0.0,0
exm2138-0_B_R_1921326872,0.0,0
exm2140-0_T_F_1919148051,0.0,0
exm2144-0_B_F_1921413095,0.0,0
exm2166-0_B_R_1921403310,0.0,0
exm2183-0_T_R_1921374950,0.0,0
exm2206-0_T_F_1921496089,0.0,0
exm2217-0_T_F_1921436383,0.0,0
exm2225-0_B_F_1919137775,0.0,0
exm2233-0_B_R_1921476860,0.0,0
exm2239-0_T_F_1921475135,0.0,0
exm2250-0_T_F_2060126474,0.0,0
exm2272-0_B_R_1921350924,0.0,0
exm2328-0_T_R_1921344294,0.0,0
exm2330-0_T_R_1921575998,0.0,0
exm2334-0_T_F_1919172737,0.0,0
exm2440-0_B_R_1921359716,0.0,0
exm2497-0_B_R_1919134570,0.0,0
exm2498-0_B_R_1921478204,0.0,0
exm2539-0_T_R_1921365372,0.0,0
exm2556-0_B_F_1921581239,0.0,0
exm2562-0_B_R_1921502438,0.0,0
exm2571-0_B_R_1921359392,0.0,0
exm2249779-0_T_R_1975256345,0.0,0
exm2589-0_B_F_1919191297,0.0,0
exm2590-0_T_F_1921492555,0.0,0
exm2249782-0_B_R_1975256421,0.0,0
exm2697-0_T_F_1919130355,0.0,0
exm2727-0_B_R_1921358796,0.0,0
exm2732-0_B_R_1921404250,0.0,0
exm2745-0_T_F_1919151215,0.0,0
exm2755-0_T_R_1921571222,0.0,0
exm2762-0_B_F_1921417545,0.0,0
exm2778-0_B_F_2060142600,0.0,0
exm2784-0_B_R_1921390036,0.0,0
exm2791-0_T_F_1921533995,0.0,0
exm2821-0_T_R_1921554306,0.0,0
exm2829-0_B_F_1919144179,0.0,0
exm2864-0_B_R_1921530904,0.0,0
exm2870-0_T_F_1919173047,0.0,0
exm2873-0_B_R_1919166218,0.0,0
exm2874-0_T_F_1921448905,0.0,0
exm2881-0_T_R_1921397722,0.0,0
exm2882-0_B_R_1919174966,0.0,0
exm2886-0_B_F_1921532389,0.0,0
exm2941-0_B_R_1919117890,0.0,0
exm2948-0_T_R_1919113284,0.0,0
exm3001-0_T_R_1921512218,0.0,0
exm3055-0_B_R_1921408328,0.0,0
exm3075-0_T_F_1921328867,0.0,0
exm3076-0_B_F_1921361523,0.0,0
exm3090-0_T_F_1921554927,0.0,0
exm3091-0_B_F_1921361445,0.0,0
exm3098-0_T_R_1919138216,0.0,0
exm3111-0_B_R_1921358844,0.0,0
exm3147-0_B_F_1921447973,0.0,0
exm3203-0_B_F_1921567249,0.0,0
exm3205-0_T_R_1921383710,0.0,0
exm3211-0_T_R_1921520396,0.0,0
exm3243-0_T_R_1921340354,0.0,0
exm3253-0_T_F_1921384785,0.0,0
exm3254-0_B_F_1921436657,0.0,0
exm3317-0_T_R_2058862607,0.0,0
exm3329-0_T_R_1921388580,0.0,0
exm3332-0_T_R_1919170196,0.0,0
exm3350-0_T_F_1921558625,0.0,0
exm3352-0_T_F_1921441665,0.0,0
exm3367-0_B_F_1921462587,0.0,0
exm3369-0_B_R_1921485990,0.0,0
exm3377-0_T_F_1919138621,0.0,0
exm3388-0_B_R_1919121666,0.0,0
exm3397-0_T_R_1921473978,0.0,0
exm3425-0_B_F_1921493219,0.0,0
exm3426-0_T_F_1921489325,0.0,0
exm3458-0_B_F_1921521847,0.0,0
exm3468-0_B_F_1919116881,0.0,0
