probe_id,stability_fraction,n_significant_repeats,core_name,Chr,MapInfo
exm24035-0_B_R_1921346506,1.0,30,exm24035-0_B_R,1,17982446.0
exm48976-0_T_R_1919174050,0.9666666666666667,29,exm48976-0_T_R,1,40703169.0
exm85854-0_B_F_1919187493,0.7666666666666667,23,exm85854-0_B_F,1,114523753.0
exm840569-0_B_R_1921062879,0.7666666666666667,23,exm840569-0_B_R,10,91099466.0
exm842015-0_B_F_1920960758,0.7666666666666667,23,exm842015-0_B_F,10,94267953.0
exm842539-0_B_F_1921030758,0.8666666666666667,26,exm842539-0_B_F,10,95093631.0
exm857621-0_T_R_1920983209,0.7,21,exm857621-0_T_R,10,116049170.0
exm883775-0_B_R_1918227141,0.7333333333333333,22,exm883775-0_B_R,11,5776338.0
exm892742-0_T_R_1918353158,0.7666666666666667,23,exm892742-0_T_R,11,16810755.0
exm999027-0_B_F_1922568481,0.7666666666666667,23,exm999027-0_B_F,12,49230563.0
exm1014552-0_T_R_1922437488,0.7666666666666667,23,exm1014552-0_T_R,12,57351053.0
exm1018255-0_T_R_1922577212,0.7,21,exm1018255-0_T_R,12,59313238.0
exm1039373-0_T_R_1922441190,0.7666666666666667,23,exm1039373-0_T_R,12,113552611.0
exm1111853-0_B_R_1922709948,0.7666666666666667,23,exm1111853-0_B_R,14,71443826.0
exm1164448-0_T_R_1922802638,0.7666666666666667,23,exm1164448-0_T_R,15,56719803.0
exm1283758-0_T_F_1918697769,0.7666666666666667,23,exm1283758-0_T_F,17,5324787.0
exm1315010-0_B_F_1918742545,0.7666666666666667,23,exm1315010-0_B_F,17,36482977.0
exm1337922-0_T_R_1918724846,0.7666666666666667,23,exm1337922-0_T_R,17,50008372.0
exm1361294-0_B_R_1918743212,1.0,30,exm1361294-0_B_R,17,76547636.0
exm1383497-0_T_R_1921594274,0.7666666666666667,23,exm1383497-0_T_R,18,34327022.0
exm1437821-0_B_R_1920919313,0.7666666666666667,23,exm1437821-0_B_R,19,15574950.0
exm1933591-0_B_R_1927292632,0.7666666666666667,23,exm1933591-0_B_R,19,36223242.0
exm1463888-0_B_R_1923314790,0.7666666666666667,23,exm1463888-0_B_R,19,39230735.0
exm177675-0_T_R_1918949722,0.7666666666666667,23,exm177675-0_T_R,2,25678319.0
exm192881-0_T_F_1918902779,0.7666666666666667,23,exm192881-0_T_F,2,48808107.0
exm253998-0_B_R_1918935920,0.8333333333333334,25,exm253998-0_B_R,2,196673533.0
exm259551-0_T_F_1918830369,0.8,24,exm259551-0_T_F,2,207170004.0
exm1581377-0_B_R_1918429446,0.8,24,exm1581377-0_B_R,21,47704254.0
exm1614640-0_T_R_1919086982,0.9333333333333333,28,exm1614640-0_T_R,22,43218397.0
exm292097-0_B_R_1922134262,0.7666666666666667,23,exm292097-0_B_R,3,13613015.0
exm353086-0_B_F_1922235721,0.7666666666666667,23,exm353086-0_B_F,3,135721935.0
exm473371-0_B_R_1921221591,0.7666666666666667,23,exm473371-0_B_R,5,118970225.0
exm492218-0_T_R_1921147733,0.7666666666666667,23,exm492218-0_T_R,5,145890048.0
exm514283-0_T_R_1921901932,0.8666666666666667,26,exm514283-0_T_R,6,6626579.0
exm587379-0_T_R_1921980082,0.7666666666666667,23,exm587379-0_T_R,6,152461201.0
exm645232-0_B_R_1918520834,0.7666666666666667,23,exm645232-0_B_R,7,100732262.0
exm659391-0_B_R_1918526444,1.0,30,exm659391-0_B_R,7,134617884.0
exm706560-0_T_F_1923008731,0.7666666666666667,23,exm706560-0_T_F,8,75929615.0
exm755895-0_T_F_1922342233,0.7,21,exm755895-0_T_F,9,78953153.0
exm765490-0_B_R_1922367452,0.7666666666666667,23,exm765490-0_B_R,9,100326403.0
exm767631-0_B_F_1922426411,0.7,21,exm767631-0_B_F,9,104125282.0
exm776310-0_B_R_1922396242,1.0,30,exm776310-0_B_R,9,119028233.0
exm788935-0_B_F_1922344503,0.7,21,exm788935-0_B_F,9,133756050.0
exm800174-0_B_F_1922420513,0.7666666666666667,23,exm800174-0_B_F,9,139753766.0
