probe_id,stability_fraction,n_significant_repeats,core_name,Chr,MapInfo
exm1790-0_B_F_1921371183,1.0,30,exm1790-0_B_F,1,1149109.0
exm43011-0_B_F_1921441001,1.0,30,exm43011-0_B_F,1,35250486.0
exm45382-0_T_R_1921413452,1.0,30,exm45382-0_T_R,1,36904409.0
exm63579-0_T_R_1921559958,1.0,30,exm63579-0_T_R,1,58999918.0
exm119079-0_T_F_1921575913,1.0,30,exm119079-0_T_F,1,162725022.0
exm120679-0_T_F_1921471407,1.0,30,exm120679-0_T_F,1,167780083.0
exm131374-0_B_F_1919141167,1.0,30,exm131374-0_B_F,1,185985176.0
exm2277017-0_T_R_1989215336,1.0,30,exm2277017-0_T_R,1,202399880.0
exm144975-0_B_R_1919114304,1.0,30,exm144975-0_B_R,1,207793411.0
exm150738-0_B_R_1919139270,1.0,30,exm150738-0_B_R,1,221879742.0
exm151723-0_B_R_1921475100,1.0,30,exm151723-0_B_R,1,223568054.0
exm161959-0_T_R_1919158388,1.0,30,exm161959-0_T_R,1,236730158.0
exm162451-0_T_R_1921466416,1.0,30,exm162451-0_T_R,1,237054460.0
exm806278-0_T_R_1921036879,1.0,30,exm806278-0_T_R,10,3185622.0
exm823703-0_B_R_1920989983,1.0,30,exm823703-0_B_R,10,50340187.0
exm826689-0_T_R_1921049687,1.0,30,exm826689-0_T_R,10,61829951.0
exm835047-0_T_F_1921051940,1.0,30,exm835047-0_T_F,10,75559853.0
exm847132-0_T_F_1921042500,1.0,30,exm847132-0_T_F,10,99519057.0
exm852296-0_T_R_2060126771,1.0,30,exm852296-0_T_R,10,104235691.0
exm875742-0_B_F_1918192111,1.0,30,exm875742-0_B_F,11,1263770.0
exm920939-0_B_R_1918203916,1.0,30,exm920939-0_B_R,11,63486573.0
exm2250130-0_T_R_1975250767,1.0,30,exm2250130-0_T_R,11,64504474.0
exm935492-0_B_F_1918260665,1.0,30,exm935492-0_B_F,11,68562298.0
exm956308-0_B_R_1918197196,1.0,30,exm956308-0_B_R,11,113267947.0
exm958707-0_B_F_1918242004,1.0,30,exm958707-0_B_F,11,117267317.0
exm966722-0_T_R_1918286396,1.0,30,exm966722-0_T_R,11,124500321.0
exm1005811-0_T_R_1922492422,1.0,30,exm1005811-0_T_R,12,52965240.0
exm1011156-0_T_R_1922568934,1.0,30,exm1011156-0_T_R,12,56088073.0
exm1019182-0_B_R_1922494452,1.0,30,exm1019182-0_B_R,12,64824036.0
exm1041923-0_T_R_1922575168,1.0,30,exm1041923-0_T_R,12,118673387.0
exm1046059-0_T_F_1922547177,1.0,30,exm1046059-0_T_F,12,122825466.0
exm1049346-0_T_F_1922465719,1.0,30,exm1049346-0_T_F,12,124422346.0
exm1055518-0_T_F_1921844741,1.0,30,exm1055518-0_T_F,13,20567666.0
exm1792849-0_B_F_2060135027,1.0,30,exm1792849-0_B_F,13,23910290.0
exm1064409-0_B_R_1921829133,1.0,30,exm1064409-0_B_R,13,39358796.0
exm1075001-0_B_F_1921841575,1.0,30,exm1075001-0_B_F,13,96282268.0
exm1078165-0_B_R_1921836640,1.0,30,exm1078165-0_B_R,13,103513972.0
exm1091898-0_B_R_1922770482,1.0,30,exm1091898-0_B_R,14,24543503.0
exm1818608-0_B_F_1927018953,1.0,30,exm1818608-0_B_F,14,70989851.0
exm1157179-0_T_R_1922859472,1.0,30,exm1157179-0_T_R,15,44107195.0
exm1157999-0_T_R_1922817656,1.0,30,exm1157999-0_T_R,15,45386358.0
exm1158742-0_B_R_1922811776,1.0,30,exm1158742-0_B_R,15,45470476.0
exm1189236-0_B_R_1922835354,1.0,30,exm1189236-0_B_R,15,90768896.0
exm1197392-0_B_R_1921711572,1.0,30,exm1197392-0_B_R,16,683905.0
exm1214060-0_T_R_1921653292,1.0,30,exm1214060-0_T_R,16,4743741.0
exm1223541-0_B_F_1921755079,1.0,30,exm1223541-0_B_F,16,20810665.0
exm1225362-0_T_R_1921738764,1.0,30,exm1225362-0_T_R,16,22269064.0
exm1236288-0_T_F_1921776525,1.0,30,exm1236288-0_T_F,16,31341430.0
exm1260594-0_T_R_1921657690,1.0,30,exm1260594-0_T_R,16,77775788.0
exm1276395-0_T_R_1918654476,1.0,30,exm1276395-0_T_R,17,2235580.0
exm1291150-0_T_R_2058873027,1.0,30,exm1291150-0_T_R,17,8052595.0
exm1875153-0_B_R_2060120651,1.0,30,exm1875153-0_B_R,17,11608475.0
exm1311514-0_B_F_1918714291,1.0,30,exm1311514-0_B_F,17,33428040.0
exm1316345-0_B_F_1918615785,1.0,30,exm1316345-0_B_F,17,37370522.0
exm1351320-0_B_R_1918794748,1.0,30,exm1351320-0_B_R,17,72308200.0
exm1367987-0_T_R_1918724820,1.0,30,exm1367987-0_T_R,17,79857328.0
exm1393151-0_T_F_1921614915,1.0,30,exm1393151-0_T_F,18,72775684.0
exm1427928-0_T_R_1923316470,1.0,30,exm1427928-0_T_R,19,11327760.0
exm1924739-0_T_R_1927247710,1.0,30,exm1924739-0_T_R,19,15272378.0
exm1442697-0_T_F_2060141789,1.0,30,exm1442697-0_T_F,19,17653012.0
exm1453197-0_T_F_1923209609,1.0,30,exm1453197-0_T_F,19,33586715.0
exm1471153-0_B_R_1923230572,1.0,30,exm1471153-0_B_R,19,41928086.0
exm232437-0_T_F_1918826569,1.0,30,exm232437-0_T_F,2,152319755.0
exm234321-0_T_F_1918915207,1.0,30,exm234321-0_T_F,2,158157473.0
exm238246-0_B_F_1918914771,1.0,30,exm238246-0_B_F,2,166799770.0
exm244542-0_T_F_1918981883,1.0,30,exm244542-0_T_F,2,178879181.0
exm274495-0_T_R_1918814578,1.0,30,exm274495-0_T_R,2,232325512.0
exm277002-0_T_R_1918922004,1.0,30,exm277002-0_T_R,2,234545374.0
exm285059-0_B_F_1918833827,1.0,30,exm285059-0_B_F,2,242707212.0
exm1530128-0_T_F_1922635155,1.0,30,exm1530128-0_T_F,20,24959504.0
exm1533671-0_B_F_1922631227,1.0,30,exm1533671-0_B_F,20,31656613.0
exm1552559-0_B_F_1922607837,1.0,30,exm1552559-0_B_F,20,56179819.0
exm1564766-0_B_R_1918401720,1.0,30,exm1564766-0_B_R,21,31538329.0
exm1567342-0_B_F_1918398641,1.0,30,exm1567342-0_B_F,21,34860677.0
exm1576052-0_B_F_1918424827,1.0,30,exm1576052-0_B_F,21,45547911.0
exm1606988-0_T_R_1919105310,1.0,30,exm1606988-0_T_R,22,38121795.0
exm1609252-0_B_F_1919044185,1.0,30,exm1609252-0_B_F,22,39411737.0
exm294694-0_B_F_1922223929,1.0,30,exm294694-0_B_F,3,17255827.0
exm309790-0_B_R_1922215646,1.0,30,exm309790-0_B_R,3,47453372.0
exm312505-0_B_F_2060421275,1.0,30,exm312505-0_B_F,3,48677452.0
exm318221-0_T_R_1922220414,1.0,30,exm318221-0_T_R,3,50403503.0
exm324552-0_T_F_1922184075,1.0,30,exm324552-0_T_F,3,54922021.0
exm325174-0_T_R_1922233064,1.0,30,exm325174-0_T_R,3,56766353.0
exm326427-0_B_R_1922217674,1.0,30,exm326427-0_B_R,3,58145320.0
exm351757-0_B_F_1922115869,1.0,30,exm351757-0_B_F,3,132427063.0
exm363830-0_B_R_1922190426,1.0,30,exm363830-0_B_R,3,169587465.0
exm369684-0_T_R_1922237710,1.0,30,exm369684-0_T_R,3,184429072.0
exm371534-0_T_R_1922283852,1.0,30,exm371534-0_T_R,3,186944222.0
exm375830-0_B_F_1922155677,1.0,30,exm375830-0_B_F,3,195594068.0
exm2241120-0_T_R_1960123825,1.0,30,exm2241120-0_T_R,4,56309862.0
exm401033-0_B_R_1923065738,1.0,30,exm401033-0_B_R,4,57267029.0
exm411519-0_B_F_1923038535,1.0,30,exm411519-0_B_F,4,87968514.0
exm428054-0_B_F_1923040539,1.0,30,exm428054-0_B_F,4,151357970.0
exm434695-0_T_F_1923062955,1.0,30,exm434695-0_T_F,4,175897139.0
exm439800-0_T_R_1921193351,1.0,30,exm439800-0_T_R,5,161938.0
exm460873-0_B_R_2060124749,1.0,30,exm460873-0_B_R,5,73163757.0
exm509417-0_T_F_1921168742,1.0,30,exm509417-0_T_F,5,178557098.0
exm523594-0_T_F_1921962613,1.0,30,exm523594-0_T_F,6,27216987.0
exm542267-0_T_R_1921876918,1.0,30,exm542267-0_T_R,6,36291180.0
exm545126-0_T_R_1922009708,1.0,30,exm545126-0_T_R,6,40359744.0
exm557105-0_T_F_1921983477,1.0,30,exm557105-0_T_F,6,56351972.0
exm563219-0_T_F_1921887831,1.0,30,exm563219-0_T_F,6,83847326.0
exm-rs1321744-131_T_R_1990488456,1.0,30,exm-rs1321744-131_T_R,6,85891744.0
exm568790-0_B_F_1921937283,1.0,30,exm568790-0_B_F,6,105581410.0
exm588265-0_T_R_1921974678,1.0,30,exm588265-0_T_R,6,152712440.0
exm638949-0_T_F_1918501955,1.0,30,exm638949-0_T_F,7,99474175.0
exm2245131-0_B_F_1960078487,1.0,30,exm2245131-0_B_F,7,142481301.0
exm721176-0_T_F_1922979491,1.0,30,exm721176-0_T_F,8,133008725.0
exm763626-0_B_R_1922348856,1.0,30,exm763626-0_B_R,9,97522376.0
exm777387-0_T_R_2060126042,1.0,30,exm777387-0_T_R,9,123583117.0
exm786903-0_B_R_1922426070,1.0,30,exm786903-0_B_R,9,131718657.0
exm800695-0_B_R_1922396302,1.0,30,exm800695-0_B_R,9,139879312.0
