probe_id,stability_fraction,n_significant_repeats,core_name,Chr,MapInfo
exm55983-0_T_R_1921427380,1.0,30,exm55983-0_T_R,1,46500579.0
exm126208-0_B_F_1921537931,1.0,30,exm126208-0_B_F,1,177905454.0
exm2277017-0_T_R_1989215336,1.0,30,exm2277017-0_T_R,1,202399880.0
exm1767961-0_T_R_1927729235,1.0,30,exm1767961-0_T_R,1,231830012.0
exm-rs1484170-131_B_F_1990479678,1.0,30,exm-rs1484170-131_B_F,10,82699491.0
exm884577-0_B_R_1918390248,1.0,30,exm884577-0_B_R,11,6221376.0
exm908956-0_T_R_1918356220,1.0,30,exm908956-0_T_R,11,55944467.0
exm953828-0_B_F_1918201785,1.0,30,exm953828-0_B_F,11,108192112.0
exm993472-0_B_R_1922468956,1.0,30,exm993472-0_B_R,12,32890851.0
exm995081-0_B_R_1922431624,1.0,30,exm995081-0_B_R,12,41949522.0
exm1013353-0_T_F_2058861393,1.0,30,exm1013353-0_T_F,12,56743044.0
exm1014445-0_B_F_1922505549,1.0,30,exm1014445-0_B_F,12,57178800.0
exm1363160-0_T_F_1918727969,1.0,30,exm1363160-0_T_F,17,78073485.0
exm1435649-0_T_F_1923190071,1.0,30,exm1435649-0_T_F,19,14805849.0
exm2276655-0_T_F_1985231847,1.0,30,exm2276655-0_T_F,19,46318286.0
exm222764-0_T_F_1918827901,1.0,30,exm222764-0_T_F,2,116485392.0
exm1524731-0_B_R_1922647526,1.0,30,exm1524731-0_B_R,20,8703060.0
exm1529061-0_T_R_1922668646,1.0,30,exm1529061-0_T_R,20,22562607.0
exm1552938-0_B_R_1922647322,1.0,30,exm1552938-0_B_R,20,57036571.0
exm1567342-0_B_F_1918398641,1.0,30,exm1567342-0_B_F,21,34860677.0
exm1569227-0_T_F_1918422671,1.0,30,exm1569227-0_T_F,21,37650373.0
exm288133-0_T_R_1922232380,1.0,30,exm288133-0_T_R,3,9781502.0
exm318398-0_B_F_1922126681,1.0,30,exm318398-0_B_F,3,50614990.0
exm367817-0_T_R_1922226846,1.0,30,exm367817-0_T_R,3,183777950.0
exm426671-0_B_F_2060131886,1.0,30,exm426671-0_B_F,4,145573944.0
exm2068123-0_T_F_1927158969,1.0,30,exm2068123-0_T_F,4,156135605.0
exm2265787-0_T_F_1984856375,1.0,30,exm2265787-0_T_F,4,164801854.0
exm435133-0_T_F_1923052357,1.0,30,exm435133-0_T_F,4,177146483.0
exm435211-0_T_F_2060422602,1.0,30,exm435211-0_T_F,4,177650824.0
exm469871-0_B_F_1921101970,1.0,30,exm469871-0_B_F,5,102895930.0
exm479357-0_T_R_1921130751,1.0,30,exm479357-0_T_R,5,135392482.0
exm493362-0_T_R_1921214495,1.0,30,exm493362-0_T_R,5,148407773.0
exm-rs9469578-131_T_R_1990494944,1.0,30,exm-rs9469578-131_T_R,6,33706479.0
exm601967-0_T_R_1918588722,1.0,30,exm601967-0_T_R,7,4841614.0
exm2262331-0_B_F_1975241491,1.0,30,exm2262331-0_B_F,7,56344705.0
exm774741-0_B_F_1922352331,1.0,30,exm774741-0_B_F,9,117004489.0
