Cohort,Phenotype,Gene,Chr,Position,Direction,Note
African-American,Smoking Status,FLG,1,152329460,→ Smoking Status,"Filaggrin, skin barrier"
African-American,Smoking Status,PPP1R12B,1,202399880,→ Smoking Status,"★ DARPP-32 family, dopamine signaling"
African-American,Smoking Status,TUSC2/GNAI2,3,50312822,→ Smoking Status,G-protein signaling
African-American,Smoking Status,SEC24B,4,110394162,→ Smoking Status,COPII vesicle transport
African-American,Smoking Status,FAM126A,7,22985282,→ Smoking Status,PI4P synthesis
African-American,Smoking Status,CDK20,9,90584110,→ Smoking Status,Cyclin-dependent kinase
African-American,Smoking Status,CNTRL/RAB14,9,123914765,→ Smoking Status,Vesicle trafficking
African-American,Smoking Status,SLC2A8,9,130206472,→ Smoking Status,"Glucose transporter, brain"
African-American,Smoking Status,PRSS54,16,58320066,→ Smoking Status,Serine protease
African-American,Smoking Status,exm2224359,16,20435321,→ Smoking Status,Unannotated
African-American,Smoking Status,LAMA3,18,21530071,→ Smoking Status,Extracellular matrix
African-American,Smoking Status,MUC16,19,9074017,→ Smoking Status,"Mucin, airway epithelium"
African-American,CPD,PPP1R12B,1,202399880,→ CPD,★★ REPLICATED in AA (smoking_status + CPD)
African-American,CPD,MAPKAPK3,3,50614990,→ CPD,Stress response kinase
African-American,CPD,NUDT12,5,102895930,→ CPD,Nucleotide metabolism
African-American,CPD,TGFBI,5,135392482,→ CPD,"TGF-β signaling, lung"
African-American,CPD,DNAJC28,21,34860677,→ CPD,Heat shock co-chaperone
European-American,Smoking Status,exm71047,1,85020695,→ Smoking Status,Unannotated
European-American,Smoking Status,MTL5/CPT1A,11,68562288,→ Smoking Status,Fatty acid metabolism
European-American,Smoking Status,exm834716,10,75523634,→ Smoking Status,Unannotated
European-American,Smoking Status,exm850504,10,102824292,→ Smoking Status,Unannotated
European-American,Smoking Status,STK17A/COA1,7,64451709,→ Smoking Status,Serine/threonine kinase
European-American,CPD,ARHGEF10L,1,17982446,→ CPD,Rho GTPase signaling
European-American,CPD,CALD1,7,134617884,→ CPD,"Caldesmon, smooth muscle"
European-American,CPD,PAPPA,9,119028233,→ CPD,Pregnancy-associated plasma protein
European-American,CPD,ARFGAP3,22,43218397,→ CPD,ADP-ribosylation factor
